source_vintage,source_hs8,hs8_2022,match_type
2017,12072100,12072100,identity
2017,12072900,12072900,identity
2017,12073020,12073020,identity
2017,12074000,12074000,identity
2017,12075000,12075000,identity
2017,12076030,12076030,identity
2017,12077000,12077000,identity
2017,12079100,12079100,identity
2017,12079991,12079991,identity
2017,12081000,12081000,identity
2017,12089000,12089000,identity
2017,12091000,12091000,identity
2017,12092100,12092100,identity
2017,12092215,12092215,identity
2017,12092300,12092300,identity
2017,12092400,12092400,identity
2017,12092500,12092500,identity
2017,12092935,12092935,identity
2017,12092951,12092951,identity
2017,12092994,12092994,identity
2017,12093000,12093000,identity
2017,12099110,12099110,identity
2017,12099190,12099190,identity
2017,12099991,12099991,identity
2017,12101000,12101000,identity
2017,12102000,12102000,identity
2017,12112001,12112001,identity
2017,12113001,12113001,identity
2017,12114001,12114001,identity
2017,12115000,12115000,identity
2017,12119011,12119011,identity
2017,12119091,12119091,identity
2017,12119099,12116000,concordance_split
2017,12119099,12119094,concordance_split
2017,12122100,12122100,identity
2017,12122900,12122900,identity
2017,12129100,12129100,identity
2017,12129210,12129210,identity
2017,12129300,12129300,identity
2017,12129400,12129400,identity
2017,12129991,12129991,identity
2017,12130000,12130000,identity
2017,12141000,12141000,identity
2017,12149011,12149011,identity
2017,12149019,12149019,identity
2017,12149021,12149021,identity
2017,12149030,12149030,identity
2017,12149059,12149059,identity
2017,12149095,12149095,identity
2017,13012000,13012000,identity
2017,13019020,13019020,identity
2017,13021102,13021102,identity
2017,13021201,13021201,identity
2017,13021301,13021301,identity
2017,13021402,13021402,identity
2017,13021910,13021910,identity
2017,13021991,13021991,identity
2017,13022000,13022000,identity
2017,13023100,13023100,identity
2017,13023200,13023200,identity
2017,13023900,13023900,identity
2017,14011000,14011000,identity
2017,14012000,14012000,identity
2017,14019000,14019000,identity
2017,14042000,14042000,identity
2017,14049041,14049041,identity
2017,15011000,15011000,identity
2017,15012000,15012000,identity
2017,15019000,15019000,identity
2017,15021001,15021001,identity
2017,15021002,15021002,identity
2017,15021003,15021003,identity
2017,15021041,15021041,identity
2017,15021049,15021049,identity
2017,15021061,15021061,identity
2017,15021062,15021062,identity
2017,15021063,15021063,identity
2017,15029090,15029090,identity
2017,15030000,15030000,identity
2017,15041000,15041000,identity
2017,15042000,15042000,identity
2017,15043000,15043000,identity
2017,15050020,15050020,identity
2017,15050093,15050093,identity
2017,15060000,15060000,identity
2017,15071000,15071000,identity
2017,15079000,15079000,identity
2017,15081000,15081000,identity
2017,15089000,15089000,identity
2017,15091000,15092001,concordance_split
2017,15091000,15093001,concordance_split
2017,15091000,15094001,concordance_split
2017,15099000,15099000,identity
2017,15100000,15101001,concordance_split
2017,15100000,15109090,concordance_split
2017,15111000,15111000,identity
2017,15119000,15119000,identity
2017,15121100,15121100,identity
2017,15121900,15121900,identity
2017,15122100,15122100,identity
2017,15122900,15122900,identity
2017,15131100,15131100,identity
2017,15131900,15131900,identity
2017,15132100,15132100,identity
2017,15132900,15132900,identity
2017,15141100,15141100,identity
2017,15141900,15141900,identity
2017,15149100,15149100,identity
2017,15149900,15149900,identity
2017,15151100,15151100,identity
2017,15151900,15151900,identity
2017,15152100,15152100,identity
2017,15152900,15152900,identity
2017,15153000,15153000,identity
2017,15155000,15155000,identity
2017,15159094,15156001,concordance_split
2017,15159094,15159096,concordance_split
2017,15161000,15161000,identity
2017,15162000,15162061,concordance_split
2017,15162000,15163001,concordance_split
2017,15171010,15171010,identity
2017,15171090,15171090,identity
2017,15179095,15179095,identity
2017,15180000,15180000,identity
2017,15200001,15200001,identity
2017,15211000,15211000,identity
2017,15219000,15219000,identity
2017,15220000,15220000,identity
2017,16010000,16010000,identity
2017,16021000,16021000,identity
2017,16022000,16022000,identity
2017,16023100,16023100,identity
2017,16023200,16023200,identity
2017,16023901,16023901,identity
2017,16024100,16024100,identity
2017,16024200,16024200,identity
2017,16024900,16024900,identity
2017,16025011,16025011,identity
2017,16025018,16025018,identity
2017,16025090,16025090,identity
2017,16029024,16029024,identity
2017,16029035,16029035,identity
2017,16029090,16029090,identity
2017,16030000,16030000,identity
2017,16041100,16041100,identity
2017,16041200,16041200,identity
2017,16041300,16041300,identity
2017,16041400,16041400,identity
2017,16041500,16041500,identity
2017,16041600,16041600,identity
2017,16041700,16041700,identity
2017,16041800,16041800,identity
2017,16041921,16041921,identity
2017,16042000,16042000,identity
2017,16043100,16043100,identity
2017,16043200,16043200,identity
2017,16051020,16051020,identity
2017,16052100,16052100,identity
2017,16052900,16052900,identity
2017,16053020,16053020,identity
2017,16054030,16054030,identity
2017,16055100,16055100,identity
2017,16055200,16055200,identity
2017,16055300,16055300,identity
2017,16055401,16055401,identity
2017,16055500,16055500,identity
2017,16055600,16055600,identity
2017,16055700,16055700,identity
2017,16055800,16055800,identity
2017,16055901,16055901,identity
2017,16056100,16056100,identity
2017,16056200,16056200,identity
2017,16056300,16056300,identity
2017,16056900,16056900,identity
2017,17011200,17011200,identity
2017,17011300,17011300,identity
2017,17011400,17011400,identity
2017,17019100,17019100,identity
2017,17019920,17019920,identity
2017,17021100,17021100,identity
2017,17021900,17021900,identity
2017,17022000,17022000,identity
2017,17023000,17023000,identity
2017,17024000,17024000,identity
2017,17025000,17025000,identity
2017,17026000,17026000,identity
2017,17029020,17029020,identity
2017,17031000,17031000,identity
2017,17039000,17039000,identity
2017,17041000,17041000,identity
2017,17049000,17049090,concordance_split
2017,17049000,30069310,concordance_split
2017,18010000,18010000,identity
2017,18020000,18020000,identity
2017,18031000,18031000,identity
2017,18032000,18032000,identity
2017,18040000,18040000,identity
2017,18050000,18050000,identity
2017,18061000,18061000,identity
2017,18062000,18062000,identity
2017,18063100,18063100,identity
2017,18063200,18063200,identity
2017,18069011,18069011,identity
2017,18069091,18069091,identity
2017,19011000,19011000,identity
2017,19012001,19012001,identity
2017,19019020,19019020,identity
2017,19019094,19019094,identity
2017,19019095,04032001,concordance_split
2017,19019095,19019090,concordance_split
2017,19021100,19021100,identity
2017,19021900,19021900,identity
2017,19022000,19022000,identity
2017,19023000,19023000,identity
2017,19024000,19024000,identity
2017,19030000,19030000,identity
2017,19041011,19041011,identity
2017,19041091,19041091,identity
2017,19042000,19042000,identity
2017,19043000,19043000,identity
2017,19049002,19049002,identity
2017,19051000,19051000,identity
2017,19052000,19052000,identity
2017,19053100,19053100,identity
2017,19053200,19053200,identity
2017,19054000,19054000,identity
2017,19059012,19059012,identity
2017,19059020,19059020,identity
2017,19059040,19059040,identity
2017,19059092,19059092,identity
2017,20011000,20011000,identity
2017,20019000,20019000,identity
2017,20021000,20021000,identity
2017,20029000,20029000,identity
2017,20031002,20031002,identity
2017,20039000,20039000,identity
2017,20041000,20041000,identity
2017,20049000,20049000,identity
2017,20051000,20051000,identity
2017,20052000,20052000,identity
2017,20054001,20054001,identity
2017,20055101,20055101,identity
2017,20055901,20055901,identity
2017,20056001,20056001,identity
2017,20057001,20057001,identity
2017,20058001,20058001,identity
2017,20059105,20059105,identity
2017,20059990,20059990,identity
2017,20060030,20060030,identity
2017,20060094,20060094,identity
2017,20071000,20071000,identity
2017,20079100,20079100,identity
2017,20079900,20079900,identity
2017,20081100,20081100,identity
2017,20081900,20081900,identity
2017,20082005,20082005,identity
2017,20083010,20083010,identity
2017,20084012,20084012,identity
2017,20085015,20085015,identity
2017,20086007,20086007,identity
2017,20087014,20087014,identity
